orgid,tnc_url
3802526,https://www.ifwerp.com/privacy-policy/
3802526,https://www.ifwerp.com/disclaimer/
3802526,https://www.ifwerp.com/terms-of-service/
10054472,https://samarth.edu.in/terms-and-conditions/
10054472,https://samarth.edu.in/website-policies/
4545862,https://samarth.edu.in/terms-and-conditions/
4545862,https://samarth.edu.in/website-policies/
663879,https://samarth.edu.in/terms-and-conditions/
663879,https://samarth.edu.in/website-policies/
663922,https://samarth.edu.in/terms-and-conditions/
663922,https://samarth.edu.in/website-policies/
3847981,https://samarth.edu.in/terms-and-conditions/
3847981,https://samarth.edu.in/website-policies/
4548196,https://samarth.edu.in/terms-and-conditions/
4548196,https://samarth.edu.in/website-policies/
4777858,https://samarth.edu.in/terms-and-conditions/
4777858,https://samarth.edu.in/website-policies/
4547582,https://www.jntuk.edu.in/termsandconditions
4547582,https://www.jntuk.edu.in/policies
4547582,https://www.jntuk.edu.in/disclaimer
3826189,https://www.jntuk.edu.in/termsandconditions
3826189,https://www.jntuk.edu.in/policies
3826189,https://www.jntuk.edu.in/disclaimer
3826895,https://www.jntua.ac.in/website-policy
3826895,https://www.jntua.ac.in/disclaimer
3826895,https://www.jntua.ac.in/terms-conditions
4548196,https://web.msbte.ac.in/terms-and-condition
4548196,https://web.msbte.ac.in/disclaimer
4548196,https://web.msbte.ac.in/policie
4549094,https://www.dimakhconsultants.com/terms-of-use/
4549094,https://web.msbte.ac.in/terms-and-condition
4549094,https://web.msbte.ac.in/disclaimer
4549094,https://web.msbte.ac.in/policie
3799687,https://web.msbte.ac.in/terms-and-condition
3799687,https://web.msbte.ac.in/disclaimer
3844163,https://aktu.ac.in/terms-and-conditions.html
3844163,https://aktu.ac.in/privacy-policy.html
3844163,https://aktu.ac.in/disclaimer.html
3832409,https://brabu.ac.in/home/termsconditions
3832409,https://brabu.ac.in/home/privacypolicy
3832409,https://brabu.ac.in/home/copyrights
3813312,https://makaut.wb.gov.in/MAKAUT_Web/assets/img/Privacy%20Policy.pdf
3813312,https://makaut.wb.gov.in/MAKAUT_Web/assets/img/WBUTAct2000.pdf
3813312,https://makaut.online/disclaimer
3813312,https://makaut.online/privacy-policy
3813312,https://makaut.online/terms
4544753,https://makaut.wb.gov.in/MAKAUT_Web/assets/img/Privacy%20Policy.pdf
4544753,https://makaut.wb.gov.in/MAKAUT_Web/assets/img/WBUTAct2000.pdf
4544753,https://makaut.online/disclaimer
4544753,https://makaut.online/privacy-policy
4544753,https://makaut.online/terms
3847011,https://makaut.wb.gov.in/MAKAUT_Web/assets/img/Privacy%20Policy.pdf
3847011,https://makaut.wb.gov.in/MAKAUT_Web/assets/img/WBUTAct2000.pdf
3847011,https://makaut.online/disclaimer
3847011,https://makaut.online/privacy-policy
3847011,https://makaut.online/terms
3830203,https://makaut.wb.gov.in/MAKAUT_Web/assets/img/Privacy%20Policy.pdf
3830203,https://makaut.wb.gov.in/MAKAUT_Web/assets/img/WBUTAct2000.pdf
3830203,https://makaut.online/disclaimer
3830203,https://makaut.online/privacy-policy
3830203,https://makaut.online/terms
4794574,https://www.aku.ac.in/website/home/homedetails?type=pp
3839739,https://studentservices.jntuh.ac.in/oss/resources/files/TermsandConditions.pdf
4546379,https://aktu.ac.in/terms-and-conditions.html
4546379,https://aktu.ac.in/privacy-policy.html
4546379,https://aktu.ac.in/disclaimer.html
4548315,https://e365.tech/privacy-policy.html
4548315,https://www.jntua.ac.in/website-policy
4548315,https://www.jntua.ac.in/disclaimer
4548315,https://www.jntua.ac.in/terms-conditions
6800633,https://linways.com/privacy_policy.html
6800633,https://linways.com/terms_and_conditions.html
3834958,https://gtu.ac.in/page.aspx?p=Privacy_Policy
3834958,https://www.gtu.ac.in/page.aspx?p=Term_GTU
3834958,https://samarth.edu.in/terms-and-conditions/
3834958,https://samarth.edu.in/website-policies/
6801425,https://www.gecbhojpur.org/about-us/terms-condition/
6801425,https://www.gecbhojpur.org/about-us/privacy-policy/
10041508,https://cdoe.bharatividyapeeth.integratededucation.pwc.in/sso/auth/legal-notices/terms-and-conditions
10041508,https://cdoe.bharatividyapeeth.integratededucation.pwc.in/sso/auth/legal-notices/privacy-statement
10209700,https://svkm.ac.in/Privacy%20policy/HF__4
4548015,https://smslucknow.ac.in/Privacy-Policy
4548015,https://smslucknow.ac.in/terms-and-conditions
4549094,https://juno.org.in/privacy-policy
5877335,https://samarth.edu.in/terms-and-conditions/
5877335,https://samarth.edu.in/website-policies/
5877335,https://ncerpune.in/terms-and-conditions.php
5877335,https://ncerpune.in/privacy-policy.php
3847427,https://egov.embase.in/privacy-policy
3847427,https://egov.embase.in/terms-of-service
3826710,https://www.oasys.co/terms.php
3826710,https://www.oasys.co/privacypolicy.php
4546419,https://exams.jbiet.edu.in/PrivacyPolicy.aspx
4546419,https://studentservices.jntuh.ac.in/oss/resources/files/TermsandConditions.pdf
3799463,https://sviet.knimbus.com/portal/v2/default/termsAndCondition
4544497,https://unipune.ac.in/university_files/privacy_statement.htm
4544497,https://unipune.ac.in/university_files/copyright.htm
4544497,https://unipune.ac.in/university_files/disclaimer.htm
4544497,https://beta.unipune.ac.in/university_files/privacy_statement.php
4544497,https://beta.unipune.ac.in/university_files/copyright.htm
4544497,https://beta.unipune.ac.in/university_files/disclaimer.htm
3841378,https://www.united.ac.in/privacy-policy
3830499,https://coe.tvu.edu.in/terms_and_conditions.php
